[2018-07-31 19:26:28] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/review/rating/save/id/1/key/4e1978e218031dabcc041e209dc97f19de521ef3442376ae17c6e068d86821b0/active_tab/form_section/","invalidateInfo":{"tags":["review_block","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:26:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/review/rating/save/id/2/key/4e1978e218031dabcc041e209dc97f19de521ef3442376ae17c6e068d86821b0/active_tab/form_section/","invalidateInfo":{"tags":["review_block","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:26:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/review/rating/save/id/2/key/4e1978e218031dabcc041e209dc97f19de521ef3442376ae17c6e068d86821b0/active_tab/form_section/","invalidateInfo":{"tags":["review_block","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:27:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/review/product/post/id/1/","invalidateInfo":{"tags":["catalog_product_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:27:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/review/product/post/id/1/","invalidateInfo":{"tags":["catalog_product_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:27:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/review/product/save/id/2/key/aed7ca76d8c3798893321923fc52f3f4d953bed7eb72ecb0022dc462e190d862/","invalidateInfo":{"tags":["catalog_product_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:27:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/review/product/save/id/2/key/aed7ca76d8c3798893321923fc52f3f4d953bed7eb72ecb0022dc462e190d862/","invalidateInfo":{"tags":["catalog_product_1","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:28:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/review/product/post/id/2/","invalidateInfo":{"tags":["catalog_product_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:28:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/review/product/post/id/2/","invalidateInfo":{"tags":["catalog_product_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:29:23] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/review/product/save/id/3/key/aed7ca76d8c3798893321923fc52f3f4d953bed7eb72ecb0022dc462e190d862/","invalidateInfo":{"tags":["catalog_product_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:29:23] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/review/product/save/id/3/key/aed7ca76d8c3798893321923fc52f3f4d953bed7eb72ecb0022dc462e190d862/","invalidateInfo":{"tags":["catalog_product_2","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:32:45] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/admin/system_config/save/key/dbca614cc29c85408817708def2eacaa1707b217f5463cd2d2e325cac39f5ea6/section/newsletter/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:32:45] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/admin/system_config/save/key/dbca614cc29c85408817708def2eacaa1707b217f5463cd2d2e325cac39f5ea6/section/newsletter/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:33:02] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1/m2/admin/admin/cache/flushSystem/key/7a9d2199a23ab65b40eb152b21df909212ddde5dfbd2dd371db05f568aed3fb6/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2018-07-31 19:33:03] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1/m2/admin/admin/cache/flushSystem/key/7a9d2199a23ab65b40eb152b21df909212ddde5dfbd2dd371db05f568aed3fb6/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2018-07-31 19:33:03] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1/m2/admin/admin/cache/flushSystem/key/7a9d2199a23ab65b40eb152b21df909212ddde5dfbd2dd371db05f568aed3fb6/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:33:04] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1/m2/admin/admin/cache/index/key/5bffce7f35f606d712988626df9153cb4ba3700cba8c2fcf52ffc4afbbd526f9/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2018-07-31 19:36:13] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1/m2/admin/admin/system_config/save/key/dbca614cc29c85408817708def2eacaa1707b217f5463cd2d2e325cac39f5ea6/section/payment/","invalidateInfo":{"tags":["config_scopes","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
